	OS052	OS152	OS186	OS457	OS525	OS526	OS384	OS742	OS766	OS774	OS833	SJSA	U2OS	MG63	MG63.3	SaOS2	HuO9	HOS	c143B
A1BG.AS1	3.353200612	0.84340004	2.143605093	2.7849508	3.475323623	3.110702337	3.953130113	2.184157101	2.225008688	0.628683705	0.905117868	3.958728961	3.032328833	3.173135538	2.951666051	0.025645367	0.069240538	2.387674106	1.886068769
A2M	10.23468256	8.583707914	10.90632323	1.351418667	11.88751823	0.743251117	1.212345736	3.840739238	2.823720123	9.181640772	1.300446894	2.451077558	3.445150846	0	0	5.939860522	4.939941167	0	0.716173097
A4GALT	1.438348106	4.459340661	0.253020978	5.76161288	2.229193301	2.457583486	6.213257803	1.577722557	0.347362212	1.770693191	1.285333618	5.157377251	2.037091096	5.367480136	4.701880222	0.281216772	4.578090534	3.783978496	2.362500214
AAAS	6.178943247	4.957483249	6.332482554	5.630717762	5.778334295	6.055766507	7.953438848	6.358492249	5.20867513	5.633814462	6.30478645	5.819548048	6.654974487	6.939740234	6.955422674	5.564013323	5.872727949	6.246242433	5.974738921
AACS	3.45819908	4.818456272	5.041506224	4.126773021	5.801419298	4.903504123	6.342651244	5.456590482	4.529583285	4.089202139	4.895949631	5.763897814	5.539783227	4.538008911	4.227363272	5.511095256	6.616533452	5.023330785	4.214930831
AADAT	3.220186971	3.866861297	3.717755245	2.75275153	3.432589761	3.532433387	2.251949161	5.450366317	5.564526848	4.792648018	2.536012152	2.991063996	3.516976128	2.056929308	2.749365104	3.573428836	4.392993618	3.135195923	3.859675864
AAGAB	5.636461843	5.932906265	5.717845664	5.494884819	5.155604868	5.704452823	5.173622984	5.956732976	5.993316402	6.6311859	6.40257358	6.342479605	6.793979633	6.3143489	6.133688745	6.048618402	5.885382299	6.687182079	6.731960343
AAK1	5.946950658	6.691042783	6.273822377	6.416618194	6.177011793	7.05574954	5.633434976	6.009546992	5.974701258	6.60444345	4.794187682	6.649337366	6.102017172	5.056982046	5.322734649	7.272014053	6.028618696	4.999664495	5.439894524
AAMDC	3.274872639	4.337104277	2.493838838	3.639202606	3.779622415	3.575359062	3.563081378	2.946942644	3.364750731	3.997627781	3.847843933	3.773027545	3.590952228	3.59413671	3.452537804	4.322724563	3.850183047	2.950030328	2.105467838
AAMP	6.856556805	7.124778314	6.50860342	6.056668877	5.908422445	6.406946212	8.025531761	6.584185909	6.122008615	7.049205792	7.460495639	7.630550753	7.024516647	7.570501666	7.387637243	7.484139942	5.362561088	7.877638746	7.434393076
AAR2	5.853475817	5.312275161	5.394230443	5.28276273	5.135761498	5.334972646	6.805137568	5.612445483	4.598752064	4.594907851	5.284958552	6.041914716	5.675445934	6.131297894	6.142981958	4.09185028	5.517691538	6.336725015	5.933183812
AARS1	8.33482028	8.329407159	7.894557415	8.997406276	8.472269937	8.692234788	9.359815918	8.525356766	8.091826925	8.480336623	8.649316586	7.69599013	8.026290927	8.392487342	8.045917028	8.212480535	7.888672298	8.733347765	7.949010777
AARS2	6.650605095	3.985772843	6.014809247	4.20421976	6.469469476	4.824369015	7.537420663	5.634574014	4.85092176	6.232389693	5.487546886	5.099513116	5.297882414	7.737862714	7.09529786	5.492824066	4.99991219	5.831314583	5.672845369
AASDH	2.85264508	3.838355389	3.638545293	3.813738175	4.682019338	3.480146081	1.478996794	4.027925761	3.951745211	3.449137616	3.885914675	2.451077558	3.303396672	2.415914021	2.764265245	3.267042799	4.548085812	2.670614703	3.676380909
AASDHPPT	3.444633012	5.20956804	5.388189682	5.046877837	5.562441338	4.852687362	1.152546466	7.074647622	5.651742326	5.024158923	6.577161971	3.191849384	4.685980051	4.471611375	4.859358069	4.314945514	5.365144743	4.574626253	5.576804287
AASS	4.862039919	4.478743134	4.896607794	3.742287511	5.416570069	3.44254931	1.618141258	5.526302465	5.369318665	4.449222266	2.19149717	3.37709426	3.3727914	2.047843098	0.049496568	4.353427973	5.108751445	4.654739953	3.962401755
AATF	6.799081546	5.983587145	6.329333249	6.437363038	4.750837215	6.05603715	6.847005284	5.882394858	6.709775385	7.370541626	6.795562047	7.023284163	7.35299276	7.390835354	7.869179684	6.584444653	6.75200894	7.085125442	7.227529792
ABAT	0.964573351	1.241936598	0.95793281	2.314817118	3.542631443	2.890436345	2.581669134	1.687638606	2.421080026	1.26956999	0.573068009	3.779845298	3.930430629	1.032071031	0.049496568	0.442225832	2.594389569	1.413060754	2.117390839
ABCA1	2.576076655	2.727260276	6.366678622	3.300623587	3.784264922	4.480851527	1.3781705	4.627914317	6.975720959	2.017693174	5.110510168	3.861384286	1.403130103	2.195026348	1.174108665	0.516457716	5.78925718	0.105130404	1.50547185
ABCA2	7.141624838	6.965280425	6.23610151	5.646284116	6.734273433	5.027925373	6.888837955	6.192214627	6.826260499	6.464979786	6.343150151	1.878383651	5.601657616	7.318302933	6.215925767	5.179597514	7.055080642	5.313916778	4.276042152
ABCA3	0.670354949	6.924149449	7.625186457	0.25421424	5.995744055	0.262658126	0.556215974	3.968188703	8.733941533	5.81151007	6.021559508	0.030810262	2.06131588	3.767428604	2.211008387	0.147449575	6.899210733	5.616953476	5.149662833
ABCA5	2.38688177	4.676540766	3.488514341	4.947487772	4.359007479	4.109528974	0.645691452	4.71096483	4.429853256	5.317156995	3.095294308	2.126765459	1.311845718	1.95368757	1.645760421	3.083872541	4.062464916	0.873031754	1.203823254
ABCA7	3.875861665	4.735530322	3.247729422	4.665611427	4.850121228	5.354908101	4.52450682	3.67980357	3.855541563	3.746849729	2.610663938	2.332429934	2.802542491	2.25941466	2.432390182	5.077548481	4.081443025	1.953258194	1.269409923
ABCB10	3.338605199	3.180600313	5.198497369	3.812697349	4.700966949	3.452452014	0.809539493	5.630450686	4.377277849	3.349589849	5.22681499	3.514236171	3.690087032	3.845536127	4.59342382	2.455159354	3.872146758	3.486053623	3.972283229
ABCB4	2.515727043	3.389793003	2.717050612	2.943602985	5.362750379	0.710615811	0.956662521	6.909214868	4.286275113	4.005825589	0.036563218	4.502843675	2.728836287	1.473230068	0.232069614	2.426567276	4.239992382	0.105130404	1.087416926
ABCB7	4.685864164	3.792574987	5.499359673	4.06079922	4.449470932	4.545503267	1.745038166	5.08295794	4.426813058	4.536690087	5.380502137	4.119651698	4.978748302	3.520510425	4.308383431	4.188676636	4.93183078	4.363046738	5.094936
ABCB8	5.430800915	5.560849282	5.27131757	5.807268185	4.558279581	5.477571778	5.708033004	4.976531473	3.554979133	4.256565095	5.382278899	5.352928769	3.404698893	5.96930033	5.3855159	4.769491329	5.985050757	4.537540388	4.135077789
ABCB9	3.845213046	3.458181817	4.032801049	3.908368044	4.005824066	4.015802314	5.010558504	4.056891622	3.855541563	2.58650261	4.183614061	4.452527942	5.469112531	3.881781509	4.031892768	3.963386018	3.3356239	2.507586541	2.541301401
ABCC1	6.24475605	6.162458071	6.71442649	5.671764851	5.828642377	6.148027703	6.462928207	7.248828827	7.000981939	6.477560615	7.4503684	7.624724427	5.723675984	8.337855262	8.065034249	6.859750488	5.902083935	6.433268562	5.929807114
ABCC10	5.341664589	4.96724645	4.812989028	4.687352908	6.619458756	5.239068799	7.411533002	4.563051619	4.917413086	5.549404098	4.648245895	4.784003139	3.395200523	4.10187872	3.645958737	4.480565825	5.617862876	4.833666592	4.320557009
ABCC3	2.600750675	7.897546773	1.146719981	7.106293437	1.134315852	5.92080841	6.005012769	0.462672139	0	3.228719603	1.99183962	5.300160104	4.839777956	3.927083434	2.918748961	3.785301289	0.135309586	0.539580347	0.532468313
ABCC4	4.212429835	5.197908173	5.351404118	6.650279821	5.101450467	5.310226951	2.03727296	6.038880465	6.420621696	5.612499466	6.591824575	3.458669117	4.446427201	5.664308313	5.059863856	4.426240939	0	4.415092216	5.701345177
